lead_id,nombre,telefono,categoria,direccion,puntaje,resenas,score,filter_reason,enviado,fecha_envio,estado_respuesta,fecha_respuesta,project_path,live_url,enviado_links,fecha_envio_links,fecha_entrega,fecha_renovacion_web,fecha_renovacion_hosting,fecha_renovacion_mantenimiento,notas
,MUEBLES A MEDIDA VERIFICAR NUMEROS OFICIALES EN LA PAGINA,+54 341 510-9798,Tienda de muebles,Rosario,4.5,30,,,SI,2026-06-19T14:36:49.970225,,,,,,,,,,,
,Carpintería El Hornero,+54 341 271-4093,Carpintero,Rosario,4.5,30,,,SI,2026-06-19T14:37:17.113245,,,,,,,,,,,
,JLC deco muebles,+54 341 355-2120,Fábrica de muebles,Rosario,4.5,30,,,SI,2026-06-19T14:37:47.502919,,,,,,,,,,,
,Verzi Design - Muebles a Medida Estilo Industrial,+54 341 271-0537,Herrero,Rosario,4.5,30,,,SI,2026-06-19T14:38:15.220193,,,,,,,,,,,
,Terra Cucine - Muebles de Cocina a Medida,+54 341 369-6315,Tienda de muebles de cocina,Rosario,4.5,30,,,SI,2026-06-19T14:38:46.359254,,,,,,,,,,,
,"Maderas ""Península""",+54 341 796-0828,Tienda de materiales para la construcción,Rosario,4.5,30,,,SI,2026-06-19T14:39:17.539534,,,,,,,,,,,
,TAPIZADOS DELUXE,+54 341 550-7912,Carpintería,Rosario,4.5,30,,,SI,2026-06-19T14:51:33.502839,,,,,,,,,,,
,Primma Amoblamientos de Cocina,+54 341 305-6304,Tienda de muebles de cocina,Rosario,4.5,30,,,SI,2026-06-19T15:46:06.739208,,,,,,,,,,,
,CATALESCA SILLONES,+54 341 642-3503,Fábrica de muebles,Rosario,4.5,30,,,SI,2026-06-19T15:46:41.067004,,,,,,,,,,,
,Toco Madera,+54 341 600-6908,Fábrica de muebles,Rosario,4.5,30,,,SI,2026-06-19T15:47:13.259287,,,,,,,,,,,
,La Gracias Muebles,+54 341 622-7219,Tienda de muebles,Rosario,4.5,30,,,SI,2026-06-19T15:47:44.452227,,,,,,,,,,,
,OEM Muebles de interior,+54 341 259-1500,Fábrica de muebles,Rosario,4.5,30,,,SI,2026-06-19T15:48:13.065196,,,,,,,,,,,
,A.S. Herrería Muebles Estilo Industrial,+54 341 284-4859,Fábrica de muebles,Rosario,4.5,30,,,SI,2026-06-19T15:48:43.512320,,,,,,,,,,,
,Genova Muebles,+54 341 653-1054,Tienda de muebles,Rosario,4.5,30,,,SI,2026-06-19T15:49:10.822185,,,,,,,,,,,
,Amoblamientos Valongo,+54 341 588-2007,Tienda de muebles de cocina,Rosario,4.5,30,,,SI,2026-06-19T15:49:37.894911,,,,,,,,,,,
,Amoblamientos de Cocina,+54 341 437-5318,Tienda de bricolaje,Rosario,4.5,30,,,SI,2026-06-19T15:50:14.959240,,,,,,,,,,,
,JRrosario amoblamientos y sanitarios,+54 341 305-4807,Tienda de equipos de baños,Rosario,4.5,30,,,SI,2026-06-19T15:50:43.444507,,,/home/aguszz/pipeline-automated-update-test/websites/jrrosario_amoblamientos_y_sanitarios,,,,,,,,
,Carpintería Teodoro,+54 9 341 506-8484,Carpintero,Rosario,4.5,30,,,SI,2026-06-19T15:51:15.949670,,,,,,,,,,,
,Muebles Disartolmo,+54 341 324-7052,Tienda de muebles,Rosario,4.5,30,,,SI,2026-06-19T15:51:48.808913,,,,,,,,,,,
,Áurea amoblamientos,+54 341 321-0856,Fábrica de muebles,Rosario,4.5,30,,,SI,2026-06-19T15:52:20.385529,,,,,,,,,,,
,Johnson GIANI + PESADO CASTRO,+54 9 341 645-2922,Tienda de muebles,Rosario,4.5,30,,,SI,2026-06-19T15:52:50.814863,,,,,,,,,,,
,MOLL AMOBLAMIENTOS,+54 341 358-8627,Fábrica de muebles,Rosario,4.5,30,,,SI,2026-06-19T15:53:17.373010,,,,,,,,,,,
,Cg Amoblamientos,+54 341 628-5826,Tienda de muebles,Rosario,4.5,30,,,SI,2026-06-19T15:53:44.992204,,,,,,,,,,,
,MUEBLES EURO,+54 341 637-8939,Carpintero,Rosario,4.5,30,,,SI,2026-06-19T15:54:13.717230,,,,,,,,,,,
,Dalfino Muebles,+54 341 214-8549,Fábrica de muebles,Rosario,4.5,30,,,SI,2026-06-19T15:54:42.531801,,,/home/aguszz/pipeline-automated-update-test/websites/dalfino_muebles,,,,,,,,
,Estilo Urbano Amoblamientos,+54 9 341 356-6957,Tienda de artículos para el hogar,Rosario,4.5,30,,,SI,2026-06-19T15:55:11.900236,,,,,,,,,,,
,Digma Carpinteria | AMOBLAMIENTOS a Medida | !! Carpinteria a Domicilio Rosario !!,+54 9 341 305-0677,Carpintero,Rosario,4.5,30,,,SI,2026-06-19T15:55:40.279273,,,,,,,,,,,
,Roots amoblamientos,+54 341 643-2932,Fábrica de muebles,Rosario,4.5,30,,,SI,2026-06-19T15:56:11.555448,,,,,,,,,,,
,Fabmueb amoblamientos,+54 341 677-6239,Carpintería,Rosario,4.5,30,,,SI,2026-06-19T15:56:45.744237,,,,,,,,,,,
,Amoblamientos Infinity,+54 341 431-5374,Fábrica de muebles,Rosario,4.5,30,,,SI,2026-06-19T15:57:21.270472,,,,,,,,,,,
,"Muebleria ""El Gigante"".",+54 341 433-8143,Tienda de muebles,Rosario,4.5,30,,,SI,2026-06-19T15:57:53.508947,,,,,,,,,,,
,Aesir Amoblamientos,+54 341 201-7713,Fábrica de muebles,Rosario,4.5,30,,,SI,2026-06-19T15:58:19.493242,,,,,,,,,,,
,Lumber Amueblamientos,+54 341 637-4030,Fábrica de muebles,Rosario,4.5,30,,,SI,2026-06-19T15:58:51.051974,,,,,,,,,,,
,MAZ amoblamientos,+54 341 591-4716,Fábrica de muebles,Rosario,4.5,30,,,SI,2026-06-19T15:59:23.837795,,,,,,,,,,,
,Modular Espacios,+54 341 389-1364,Fábrica de muebles,Rosario,4.5,30,,,SI,2026-06-19T15:59:53.132209,,,,,,,,,,,
,GENESIS MUEBLERIA,+54 341 342-0355,Tienda de muebles,Rosario,4.5,30,,,SI,2026-06-19T16:00:22.710210,,,,,,,,,,,
